p_id,Sr_No,nationality,product_id,product_category,product_type,product_name,service_id,serviced_by,inclusions,service_description,visa_entry,visa_validity,visa_duration,min_no_of_hrs,max_no_of_hrs,airport,airport_code,arrival_terminal,departure_terminal,travel_type,city,country,country_code,supplier,supplier_status,rate_application,currency,adult_cost_price,adult_cost_tax,child_cost_price,child_cost_tax,child_defination_max,child_defination_min,child_free,group_size_min,group_size_max,group_price,group_price_tax,exceptions,Sales Cut Off,booking_cut_off,time_zone,service_charge_adult,total,service_tax_adult,service_charge_child,service_tax_child,service_tax_applicable_on,sales_cut_off,sales_cut_off_time_zone,cancellation_time,cancellation_charges,discount,discount_amount,output_price,important_notes,booking_type,gst_criteria,gst_base_amount,gst_rate,gst_rate_currency,total_sp,total_sp_with_gst,total_sp_usd,total_sp_usd_with_gst,total_sp_inr,total_sp_inr_with_gst,c_total_sp,c_total_sp_with_gst,c_total_sp_usd,c_total_sp_usd_with_gst,c_total_sp_inr,c_total_sp_inr_with_gst,buffet_meals,alcoholic_beverages,non_alcoholic_beverages,wifi,shower,smoking_zone,prayer_room,sleeping_pods,kids_play_area,fast_track_immigration,fast_track_security,porter,personal_assistance,lounge,child_free_2yrs,child_free_3yrs,child_free_5yrs,child_free_6yrs,is_active
254,11,All,2,M&A,Transit,VIP Fast Track,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage Tracking – Check the luggage transfer on board departure flight</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your connecting flight with priority boarding</li></ul>","<p>Specially curated and aimed at shaping your travel plans comfortably, M&A Transit- VIP Fast Track available at all terminals of Charles De Gaulle Airport is ideally suited for a group of 5 travellers who wish to travel domestically or internationally. You can avail of various premium services such as baggage tracking and also get escorted to the VIP airline lounge as a part of this package.<p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,270,,,,,,5,5,5,0,0,NA,24,2,81,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,270,270,335,335,24440,24440, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,
255,12,All,2,M&A,Transit,VIP Fast Track,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage Tracking – Check the luggage transfer on board departure flight</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your connecting flight with priority boarding</li></ul>","<p>Travel hassle-free with the M&A- Transit- VIP Fast Track Service available at all terminals of Charles De Gaulle Airport. Suited for both international and domestic travel purposes, it is ideal for a group of 6 travellers. You can avail of baggage-tracking services and will be escorted to the VIP airline lounge or to the gate of your connecting flight with priority boarding as a part of this package.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,305,,,,,,5,6,6,0,0,NA,24,2,91.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,305,305,378,378,27609,27609, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,N,N,Y,N,Y,
256,13,All,2,M&A,Arrival,VIP Premium,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage porterage (4 bags) </li>
<li>Transfer to your hotel in Paris in Mercedes S Class</li></ul>","<p>Make your arrival more comfortable and luxurious with M&A- Arrival- VIP Premium Service available at all terminals of Charles De Gaulle Airport. If you are a group of up to three travellers or less, arrive in style as you will be escorted to your hotel in a Mercedes S Class and will receive help with the immigration process.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,300,,,,,,5,1,3,0,0,NA,24,2,90,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,300,300,372,372,27156,27156, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
257,14,All,2,M&A,Arrival,VIP Premium,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage porterage (4 bags) </li>
<li>Transfer to your hotel in Paris in Mercedes S Class</li></ul>","<p>Make a style statement by arriving in luxury as we escort you to your hotel in a Mercedes S Class. Available at all terminals of Charles De Gaulle Airport, this package is apt for a group of 4 travellers. You can also avail of various other services such as baggage porterage and receive assistance with the immigration process.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,335,,,,,,5,4,4,0,0,NA,24,2,100.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,335,335,415,415,30324,30324, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
258,15,All,2,M&A,Arrival,VIP Premium,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage porterage (4 bags) </li>
<li>Transfer to your hotel in Paris in Mercedes S Class</li></ul>","<p>If you are looking to arrive in style and comfort and also receive help with immigration, look no more. We have got what you need as we escort you to your hotel in a Mercedes S Class. Available at all terminals in in Charles De Gaulle Airport, M&A- Arrival- VIP Premium, perfectly crafted for five travellers is the answer to most of your travel needs including baggage porterage.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,370,,,,,,5,5,5,0,0,NA,24,2,111,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,370,370,459,459,33492,33492, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
259,16,All,2,M&A,Arrival,VIP Premium,0,NA,"<ul><li>Our concierge waits the guest at the aerobridge</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Baggage porterage (4 bags) </li>
<li>Transfer to your hotel in Paris in Mercedes S Class</li></ul>","<p>If you are a group of six people looking to travel luxuriously, we will escort you to your hotel in a Mercedes S Class. Crafted beautifully and available at all terminals of Charles De Gaulle Airport, M&A- Arrival- VIP Premium Service will provide you with porterage service and immigration assistance with a priority access.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,405,,,,,,5,6,6,0,0,NA,24,2,121.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,405,405,502,502,36661,36661, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
260,17,All,2,M&A,Departure,VIP Premium,0,NA,"<ul><li>Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport</li>
<li>Our concierge will meet the guest at the kerbside of the terminal your departing flight</li>
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>"," <p>If you are a group of up to three travellers, looking to travel in grandeur and require tax refund assistance and help with the immigration process, we have got you covered. M&A Departure- VIP Premium Service is available at all terminals of Charles De Gaulle Airport and as a part of this customised package, we will pick you up from your hotel in a Mercedes S Class and escort you to the airport.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,300,,,,,,5,1,3,0,0,NA,24,2,90,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,300,300,372,372,27156,27156, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
261,18,All,2,M&A,Departure,VIP Premium,0,NA,"<ul><li>Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport</li>
<li>Our concierge will meet the guest at the kerbside of the terminal your departing flight</li>
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Perfectly suited for a luxurious travel and for a group of four travellers, M&A- Departure- VIP Premium- available at all terminals of Charles De Gaulle Airport, will provide you with tax refund assistance, porterage services and immigration assistance. Also, you will be escorted to the airport in a Mercedes S Class.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,335,,,,,,5,4,4,0,0,NA,24,2,100.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,335,335,415,415,30324,30324, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
262,19,All,2,M&A,Departure,VIP Premium,0,NA,"<ul><li>Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport</li>
<li>Our concierge will meet the guest at the kerbside of the terminal your departing flight</li>
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>M&A- Departure- VIP Premium Service available at all terminals of Charles De Gaulle Airport is your go to destination for luxury, elegance and comfort. Crafted for a group of five people, the service benefits include being escorted to the airport in a Mercedes S Class, immigration assistance and tax refund assistance.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,370,,,,,,5,5,5,0,0,NA,24,2,111,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,370,370,459,459,33492,33492, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
263,20,All,2,M&A,Departure,VIP Premium,0,NA,"<ul><li>Pick up from your hotel in Paris in Mercedes S Class for your transfers to the airport</li>
<li>Our concierge will meet the guest at the kerbside of the terminal your departing flight</li>
<li>Tax refund assistance and other airport assistance (if needed) </li>
<li>Baggage porterage (max 4 bags) to check-in and obtain your boarding pass</li>
<li>Escort through border control and security checks with a priority access</li>
<li>Escort to the VIP airline lounge (if applicable) or directly to gate of your flight with priority boarding</li></ul>","<p>Available at all terminals of Charles De Gaulle Airport, with M&A- Departure- VIP Premium Service, you will be escorted to the airport in a Mercedes S Class. It is a perfect luxurious travel package for a group of six travellers wherein you will also be provided tax refund assistance and other airport assistance.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,,All,All,Paris,France,FRA,La Cociegerie,Active,Group,EURO,405,,,,,,5,6,6,0,0,NA,24,2,121.5,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,405,405,502,502,36661,36661, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,
264,21,All,2,M&A,Arrival,VIP Ultimate,0,NA,"<ul><li>Our concierge waits the guest at the door of the aircraft</li>
<li>Runway transfers in limousine from aircraft to private lounge</li>
<li>Private lounge dedicated solely to your personal comfort: Dedicated greeting staff, self-service dining and drinks, a fully equipped personal office with wifi, wide selection of national and international newspaper</li>
<li>All the formalities will be done at the private lounge (Passport control, customs, Securities) </li>
<li>While you will relax at the lounge, we collect transport your baggage from the baggage collection area to your lounge. </li></ul>","<p>Your ideal holiday can get much more amazing with M&A- Arrival- VIP Ultimate Service, which is available at all terminals of Charles De Gaulle Airport. The variety of perks that you can avail of as a part of this exquisite package are access to a private lounge, limousine transfers and baggage assistance.</p>",NA,null,NA,NA,NA,Charles De Gaulle,CDG,All,,All,Paris,France,FRA,La Cociegerie,Active,Per Person,EURO,800,,,,,,5,NA,NA,0,0,NA,24,2,240,0,,,,,26,2,,0,0,0,0,"<ul><li>Booking cancellation requested 36 hours prior to commencement of service - No Cancellation Charges</li>
<li>Booking cancellation requested within 36 hours to commencement of service - Booking shall be Non-Refundable</li></ul>",Confirm,Location of M&A,Total Selling Price ,0%,EURO,800,800,992,992,72416,72416, -   , -   , -   , -   , -   , -   ,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,
